Description,Currency,Unit,Rate/unit,Minimum

HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,USOUP6
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,CNXAM1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,MYPKG1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,USLAX1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,USLGB1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,USHOU1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
